reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOFCEP-Dzb5-Ae3wr5Fc7iUxUfz6KaZuPff-euRxa-cUO6v1DiAGP_v1XRnrmHUuymi_h3oMj7B4JYsu,Uʟᴜʟ;"Aᴢᴍɪ,https://play-lh.googleusercontent.com/a-/AOh14GiD7jmQQBb0YrS1pbpqZijYkL8ma1Aj4YsCikKW,""Secara";keseluruhan;semuanya;udah;bagus,;mulai;dari;graphic,;sistem;F2P;yang;ramah;bagi;pemain;gratis,;bahkan;beberapa;event;gratis;yang;hadiahnya;sangat;bernilai.;Namun,;kalau;bisa;tolong;kurangin;harga;tembok;di;desa;malam,;karena;menurutku;terlalu;mahal,;terus;untuk;sistem;loot;di;desa;malam;susah;banget,;kalau;bisa;dipermudah,;jangan;sampai;nunggu;24;jam;baru;bisa;loot,;itu;kelamaan;sih...;Semoga;ditanggapi;ya;"Supercell!"",5,649,14.426.6,2022-04-28";02:19:39,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOEkFu6ewobRTcL9atJv3kOPw11vsVUY0w2VinzTH5dpu8KOEqdZ-9h8_2GKF6jXlx-zl744I_tAsoYP,Al;"Muaemin,https://play-lh.googleusercontent.com/a-/AOh14Ggx3oyYB3S0J51bBqfXjDf2IVbLY-vqcGL6Y47X,""Percuma";di;perbarui;1000%,;kalo;fitur;masih;itu-itu;aja,nga;ada;perubahan,;Dari;mulai;jaringan;lemot;harus;muat;ulang,;lawan;tidak;sebanding,;walaupun;pangkat;setara;tapi;TH;tidak;setara,;masa;th;10;lawan;th;14,mikir;lah,;orang;th;10;dengan;th;11;aja;udah;susah;banget;cuma;bisa;1;bintang;Tolong;Supercell;di;perbaiki,;pasti;kelurahan;seperti;ini;semua;tolong;fitur;"diperbaiki"",1,129,14.426.6,2022-04-27";15:28:07,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOFkrbBEdwcWoNlmOwbzu4efUac_NcC3XN_bpF9ikwi9ghR58iwm5qKHMF3gUOfJqQNSEY5mcSiADZSQ,Akhmad;"Saubani,https://play-lh.googleusercontent.com/a/AATXAJxDpiVp2K_jtxGl8ib1kNTc-ZcAAxx2Xkmw4TsS=mo,""gamenya";SERU;banget🥳!!,;hadiah;hadiah;dari;event;nya;juga;gak;bikin;rugi🤑,;dan;grafik;nya;juga;detail;banget🤩.;Pokoknya;ni;game;ini;bagus;banget😎.;Mainnya;juga;santai😌.;cuman;satu;hal;yang;kurang,;yaitu;harga;pagar;desa;malam;yang;terlalu;mahal🙁,;kalo;bisa;di;kurangin;dikit;"harganya."",5,179,14.426.6,2022-04-26";21:05:28,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOGAvvkGqTcIMZYDLMdhd0ttCqPo2nj-YNq6342gwXE-c1Hlr51ToDZHxZVOFTt1Hw7xp3C4kX7torDr,Arya;"Bima,https://play-lh.googleusercontent.com/a-/AOh14Gj3NMIczsc92OkWeT4REvG8SR3CEwL6wdlXrNKT6w,""Game";nya;udah;bagus;tapi;saya;punya;saran;kalo;waktu;upgrade;bangunan;dan;pleton;nya;di;kurangin;gimana,;soalnya;makin;tinggi;TownHall;makin;banyak;bangunan;yang;harus;di;upgrade;dan;juga;itu;butuh;waktu;yang;lama;kurang;lebih;satu;"bulan.."",5,7,14.426.6,2022-04-27";18:06:08,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOEaiMbekfy_PTilw6ZmMCxqg6DL7xnPj0a3n3fUpyvnqcdH3MqMw8vdaOquxJ_En2a75OSgGAAfYQ20,「Fikri」;"Youtube:INDOSINI,https://play-lh.googleusercontent.com/a-/AOh14GizTFm6Yj30LXIRiCbVLxsM1jzJ2FxkOfu8_aanbQ,""Sekarang";sih;udah;lumayan;update;nya;ditambah;lagi;ada;update;baru;mendatang,di;clash;of;clan;ini;ada;beberapa;yg;ku;inginkan;ketika;update;mendatang;berikut;yg;ku;ingin;kan:;1.beberapa;monumen;aesthetic;untuk;di;desa;siang;agar;terlihat;lebih;menyenangkan;2.animasi;warga;di;desa;siang;ketika;desa;memiliki;perisai;aktif;(bukan;animasi;kartun);3.level;tambahan;untuk;beberapa;peleton;4.bisa;mencoba;berbagai;fitur;baru;yang;masih;di;uji;coba......;Oke;itu;saja;dulu;komentar;ku;sekian;terimakasih;":v"",5,6,14.426.6,2022-04-27";19:25:08,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOGTANZ7QRXPWgVyr9quB1JCC1vYnfzsYUX3oXH5huyUfrZDiHW1l8kPb4rRTJD_dwKfQYqYjRBVHXMI,Febri;"Azt,https://play-lh.googleusercontent.com/a-/AOh14GjMc3047f8iQUglAfCQvbs_FWwyy8r0KBXgOWTiyA,""Sebelumnya";saya;ucapkan;terima;kasih;atas;Developer;untuk;upaya;pengembangannya,sangat;luar;dari;segi;grafik•Pertahanan;dan;penyerangan,namun;yang;saya;kurang;puas;dari;segi;sistem.Entah;mengapa;disaat;sedang;war;base;maupun;multi;pemain,kadang;sinyal;pun;menjadi;sangat;lemah,dimana;hal;ini;mengganggu;sebagian;besar;player;yang;ingin;war;tersebut,jadi;tolong;untuk;ketidaknyaman;an;kami;semoga;ditanggapi;dengan;Developerny,;Terima;"Kasih"",4,604,14.426.6,2022-04-23";16:31:34,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOGo9lDEECey5MWH_nT9l5Dmiqj6Cct3Ym_nqwg-A45mns3DDGxmqtUqLv5nOl4n0LY0CcRJz1iKEAf8,Dimas;Fauzianto,https://play-lh.googleusercontent.com/a-/AOh14GiN_JCu8AoosxDLTGqEEvMH8n1Q8TIwQXOZkgwM,Kalau;bisa;hero;tetap;bisa;ikut;cwl;dan;war;klasik;meskipun;hero;tertidur;karena;di;upgrade;ke;level;selanjutnya..;Melihat;di;saat;war;hero;yg;dlm;masa;upgrade;bisa;bangun;untuk;bertahan..;Ada;baiknya;juga;bisa;menyerang;walaupun;sedang;tertidur..;Saran;Utk;War;klasik;&;CWL,1,166,14.426.6,2022-04-25;13:11:40,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOHSlnMgb3wHVB02DW3z9BI0hPtJrtlUKL00RpRLmpKIDzGx3CgDR75wic_TaCi7C7Z04GSkOdF8OcC6,Mahesa;"DRP,https://play-lh.googleusercontent.com/a-/AOh14GixbJJ33mMoqr0y7Q0ffv22TUOewvKsilR6xVJZag,""Tolonglah";SuperCell...match;making;nya;diperbaiki;lagi,;sering;kali;saat;attack;maupun;defend;mendapatkan;lawan;yang;tidak;seimbang,;TH;lawan;selalu;lebih;tinggi;level;nya;dari;TH;kita,;jadi;tidak;adil;dan;sulit;untuk;"menang."",3,33,14.426.6,2022-04-24";22:07:54,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOENwgaK-44WtQFYYzR3lJHCQH-fKKWRHLpdxS7eCL_38RpOEkjfaTSpyFvOpj7Hgghcnc2too9ydGXV,4MR;Hakan1;"5elow,https://play-lh.googleusercontent.com/a-/AOh14GhzXXBzy_2CKkmTT_uPvY3V6EKkEJiOUmqnFXrRWg,""Saya";akui;game;nya;seru,;cuman;tolong;pas;upgrate;kasih;waktu;sewajarnya;aja;paling;lama;1;Minggu,;jangan;sampe;berpuluh;²;hari;ituu;terlalu;memakan;waktu,;terutama;bagi;player;baru;yang;pengen;ngerasain;TH;besar,;karna;terlalu;lama;jadi;player²;baru;mudah;bosen,;karna;update;nya;lama...;Tolong;buat;Developer;waktu;update;nya;di;sesuaikan,;"terimakasih"",4,21,14.426.6,2022-04-26";06:57:47,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOFW8Hi-nyFtXpEmm51R83Yh4wiABH8NE_W9T0fN9OIf4tcS6dFyUvGKqi719uVPCXSIEA4LvxpCiMLo,lndzkly_,https://play-lh.googleusercontent.com/a-/AOh14Gjp0H-ReB1__VKnxgYug6WNbZJie5QxY44FnanlRQ,Kenapa;setiap;kali;main;COC;upgrade;semuanya;selalu;lama;dan;harus;nunggu;ber;hari²;dan;kalau;melatih;tentara;harus;nungguin;1;jam;lebih..;perbaiki;dong!;masa;iya;harus;nunggu;upgrade;base;dan;hero;lama;hingga;1;bulan;lebih.;apalagi;biaya;upgrade;juga;mahal;gak;sebanding;dengan;pendapatan;dan;ga;masuk;akal;😑,1,18,14.426.6,2022-04-26;06:16:32,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
